Timestamp,Date,Stablecoins Mcap,Bridged TVL
1674777600000,2023-01-27,624510171,
1674864000000,2023-01-28,628088615,
1674950400000,2023-01-29,635636458,
1675036800000,2023-01-30,637077202,
1675123200000,2023-01-31,642326722,
1675209600000,2023-02-01,646057778,
1675296000000,2023-02-02,650034959,
1675382400000,2023-02-03,660403647,
1675468800000,2023-02-04,669359258,
1675555200000,2023-02-05,672524664,
1675641600000,2023-02-06,673947419,
1675728000000,2023-02-07,681376078,
1675814400000,2023-02-08,696150420,
1675900800000,2023-02-09,705380539,
1675987200000,2023-02-10,703226561,
1676073600000,2023-02-11,700453444,
1676160000000,2023-02-12,686789539,
1676246400000,2023-02-13,675013347,
1676332800000,2023-02-14,663612714,
1676419200000,2023-02-15,646144227,
1676505600000,2023-02-16,631098843,
1676592000000,2023-02-17,621636361,
1676678400000,2023-02-18,630788185,
1676764800000,2023-02-19,616781984,
1676851200000,2023-02-20,593316763,
1676937600000,2023-02-21,599257884,
1677024000000,2023-02-22,614883543,
1677110400000,2023-02-23,616230309,
1677196800000,2023-02-24,620086487,
1677283200000,2023-02-25,623921327,
1677369600000,2023-02-26,624703642,
1677456000000,2023-02-27,625681734,
1677542400000,2023-02-28,628355946,
1677628800000,2023-03-01,642827708,
1677715200000,2023-03-02,642953446,
1677801600000,2023-03-03,643944333,
1677888000000,2023-03-04,650213322,
1677974400000,2023-03-05,655176253,
1678060800000,2023-03-06,655926614,
1678147200000,2023-03-07,659247912,
1678233600000,2023-03-08,660637441,
1678320000000,2023-03-09,662174057,
1678406400000,2023-03-10,657558503,
1678492800000,2023-03-11,650647541,
1678579200000,2023-03-12,618313465,
1678665600000,2023-03-13,639777617,
1678752000000,2023-03-14,657235005,
1678838400000,2023-03-15,661418380,
1678924800000,2023-03-16,666163697,
1679011200000,2023-03-17,675428879,
1679097600000,2023-03-18,678545561,
1679184000000,2023-03-19,685206549,
1679270400000,2023-03-20,686355291,
1679356800000,2023-03-21,686029656,
1679443200000,2023-03-22,684487376,
1679529600000,2023-03-23,688062166,
1679616000000,2023-03-24,662967727,
1679702400000,2023-03-25,673478591,
1679788800000,2023-03-26,676059731,
1679875200000,2023-03-27,669500733,
1679961600000,2023-03-28,669070276,
1680048000000,2023-03-29,666603492,
1680134400000,2023-03-30,665652265,
1680220800000,2023-03-31,656210581,
1680307200000,2023-04-01,658102144,
1680393600000,2023-04-02,661272876,
1680480000000,2023-04-03,662610694,
1680566400000,2023-04-04,662977095,
1680652800000,2023-04-05,654712698,
1680739200000,2023-04-06,658233632,
1680825600000,2023-04-07,658636992,
1680912000000,2023-04-08,660405417,
1680998400000,2023-04-09,674126845,
1681084800000,2023-04-10,669406763,
1681171200000,2023-04-11,671367208,
1681257600000,2023-04-12,671611810,
1681344000000,2023-04-13,656649275,
1681430400000,2023-04-14,653584099,
1681516800000,2023-04-15,649605659,
1681603200000,2023-04-16,644724512,
1681689600000,2023-04-17,648974879,
1681776000000,2023-04-18,649086297,
1681862400000,2023-04-19,650822784,
1681948800000,2023-04-20,657618813,
1682035200000,2023-04-21,660395096,
1682121600000,2023-04-22,661972274,
1682208000000,2023-04-23,664938972,
1682294400000,2023-04-24,666470645,
1682380800000,2023-04-25,657012616,
1682467200000,2023-04-26,658036414,
1682553600000,2023-04-27,659794257,
1682640000000,2023-04-28,643820292,
1682726400000,2023-04-29,628391136,
1682812800000,2023-04-30,628595329,
1682899200000,2023-05-01,628927331,
1682985600000,2023-05-02,626936324,
1683072000000,2023-05-03,629278319,
1683158400000,2023-05-04,626512282,
1683244800000,2023-05-05,629092843,
1683331200000,2023-05-06,629260282,
1683417600000,2023-05-07,625756345,
1683504000000,2023-05-08,626346902,
1683590400000,2023-05-09,628623645,
1683676800000,2023-05-10,630077588,
1683763200000,2023-05-11,627748652,
1683849600000,2023-05-12,629586148,
1683936000000,2023-05-13,629215127,
1684022400000,2023-05-14,628360868,
1684108800000,2023-05-15,613104761,
1684195200000,2023-05-16,613569688,
1684281600000,2023-05-17,611486458,
1684368000000,2023-05-18,597606297,
1684454400000,2023-05-19,600324712,
1684540800000,2023-05-20,599437135,
1684627200000,2023-05-21,599713500,
1684713600000,2023-05-22,600475273,
1684800000000,2023-05-23,599359048,
1684886400000,2023-05-24,598633009,
1684972800000,2023-05-25,588391554,
1685059200000,2023-05-26,586862452,
1685145600000,2023-05-27,587077410,
1685232000000,2023-05-28,588831858,
1685318400000,2023-05-29,588402989,
1685404800000,2023-05-30,589190613,
1685491200000,2023-05-31,589843086,
1685577600000,2023-06-01,591397950,
1685664000000,2023-06-02,590715118,
1685750400000,2023-06-03,598822821,
1685836800000,2023-06-04,600280347,
1685923200000,2023-06-05,601319269,
1686009600000,2023-06-06,603258857,
1686096000000,2023-06-07,603645292,
1686182400000,2023-06-08,604685467,
1686268800000,2023-06-09,604033471,
1686355200000,2023-06-10,598814043,
1686441600000,2023-06-11,593370006,
1686528000000,2023-06-12,591770027,
1686614400000,2023-06-13,590605313,
1686700800000,2023-06-14,594433250,
1686787200000,2023-06-15,597179341,
1686873600000,2023-06-16,596678763,
1686960000000,2023-06-17,602207291,
1687046400000,2023-06-18,603240597,
1687132800000,2023-06-19,601764196,
1687219200000,2023-06-20,593094250,
1687305600000,2023-06-21,594574474,
1687392000000,2023-06-22,592758533,
1687478400000,2023-06-23,605628132,
1687564800000,2023-06-24,607674556,
1687651200000,2023-06-25,612410245,
1687737600000,2023-06-26,600837208,
1687824000000,2023-06-27,600246022,
1687910400000,2023-06-28,600466641,
1687996800000,2023-06-29,600810572,
1688083200000,2023-06-30,601364493,
1688169600000,2023-07-01,613923039,
1688256000000,2023-07-02,619945332,
1688342400000,2023-07-03,620722175,
1688428800000,2023-07-04,623385735,
1688515200000,2023-07-05,627142636,
1688601600000,2023-07-06,617202745,
1688688000000,2023-07-07,620383005,
1688774400000,2023-07-08,621560217,
1688860800000,2023-07-09,623642733,
1688947200000,2023-07-10,625240751,
1689033600000,2023-07-11,623406882,
1689120000000,2023-07-12,628820830,
1689206400000,2023-07-13,629000977,
1689292800000,2023-07-14,623944070,
1689379200000,2023-07-15,634737925,
1689465600000,2023-07-16,637252971,
1689552000000,2023-07-17,647085502,
1689638400000,2023-07-18,642920318,
1689724800000,2023-07-19,645038051,
1689811200000,2023-07-20,648967820,
1689897600000,2023-07-21,652015809,
1689984000000,2023-07-22,654323690,
1690070400000,2023-07-23,663912493,
1690156800000,2023-07-24,663482267,
1690243200000,2023-07-25,669661011,
1690329600000,2023-07-26,672607697,
1690416000000,2023-07-27,677755863,
1690502400000,2023-07-28,608808284,
1690588800000,2023-07-29,628378377,
1690675200000,2023-07-30,627949215,
1690761600000,2023-07-31,634656389,
1690848000000,2023-08-01,630062072,
1690934400000,2023-08-02,634690964,
1691020800000,2023-08-03,633931105,
1691107200000,2023-08-04,632727849,
1691193600000,2023-08-05,633363514,
1691280000000,2023-08-06,624954071,
1691366400000,2023-08-07,629712186,
1691452800000,2023-08-08,630983723,
1691539200000,2023-08-09,633071400,
1691625600000,2023-08-10,631560199,
1691712000000,2023-08-11,627118564,
1691798400000,2023-08-12,629184259,
1691884800000,2023-08-13,626661146,
1691971200000,2023-08-14,627728452,
1692057600000,2023-08-15,611919942,
1692144000000,2023-08-16,610688121,
1692230400000,2023-08-17,611941906,
1692316800000,2023-08-18,612504199,
1692403200000,2023-08-19,599696521,
1692489600000,2023-08-20,601619086,
1692576000000,2023-08-21,603705329,
1692662400000,2023-08-22,603772198,
1692748800000,2023-08-23,607483166,
1692835200000,2023-08-24,593419065,
1692921600000,2023-08-25,595956516,
1693008000000,2023-08-26,598343612,
1693094400000,2023-08-27,599196751,
1693180800000,2023-08-28,601597469,
1693267200000,2023-08-29,601441908,
1693353600000,2023-08-30,601484412,
1693440000000,2023-08-31,603839825,
1693526400000,2023-09-01,584230943,
1693612800000,2023-09-02,579572293,
1693699200000,2023-09-03,581448785,
1693785600000,2023-09-04,580028214,
1693872000000,2023-09-05,578837230,
1693958400000,2023-09-06,578799203,
1694044800000,2023-09-07,569188028,
1694131200000,2023-09-08,570096621,
1694217600000,2023-09-09,569689309,
1694304000000,2023-09-10,571075178,
1694390400000,2023-09-11,572320710,
1694476800000,2023-09-12,575587813,
1694563200000,2023-09-13,575312200,
1694649600000,2023-09-14,575807337,
1694736000000,2023-09-15,576127468,
1694822400000,2023-09-16,575302924,
1694908800000,2023-09-17,578555919,
1694995200000,2023-09-18,577858492,
1695081600000,2023-09-19,580063025,
1695168000000,2023-09-20,579573564,
1695254400000,2023-09-21,573380134,
1695340800000,2023-09-22,572904038,
1695427200000,2023-09-23,580811324,
1695513600000,2023-09-24,581788778,
1695600000000,2023-09-25,583299701,
1695686400000,2023-09-26,584079162,
